log_date,incident,reported,nature,incident_address,nature_description,date,grouped_nature
03.31.2026,260301980,2026-03-31 15:16:44,BURGLARY IP/JO,6702 SHERWOOD DR,Burglary In Progress / Just Occurred,2026-03-31,Burglary
03.31.2026,260301984,2026-03-31 15:41:58,AREA CHECK,2680 BOWDOIN ST,Area Check,2026-03-31,Other
03.31.2026,260301983,2026-03-31 15:48:30,PETTY THEFT,2340 FOOTHILL BLVD; MARSHALLS,Petty Theft,2026-03-31,Petty Theft
03.31.2026,260301986,2026-03-31 15:59:15,DISTURB ROAD,FOOTHILL BLVD & FRUIT ST,Disturbance - Road,2026-03-31,Disturbance
03.31.2026,260301985,2026-03-31 16:01:53,TRAFFIC STOP,3744 TOWNE CENTER DR; ATLAS VETERINARY HOSPITAL,Traffic Stop,2026-03-31,Traffic Stop
03.31.2026,260301987,2026-03-31 16:17:57,ILLEGAL PARKER,ALDON AVE & GROVE ST,Illegal Parking,2026-03-31,Parking
03.31.2026,260301989,2026-03-31 17:05:23,AREA CHECK,FOOTHILL BLVD & WILLIAMS AVE,Area Check,2026-03-31,Other
03.31.2026,260301990,2026-03-31 17:42:27,GTA IP/JO,2421 FOOTHILL BLVD #22H,Grand Theft Auto In Progress / Just Occurred,2026-03-31,Grand Theft
03.31.2026,260301994,2026-03-31 19:27:46,CODE H SUBJ,3640 D ST; LA VERNE LIBRARY,5150 Welfare and Institutions Code Subject,2026-03-31,Welfare/Assist
03.31.2026,260301997,2026-03-31 20:58:47,TRAFFIC HAZARD,COLLEGE LN & KNOLLWOOD AVE,Traffic Hazard,2026-03-31,Traffic Enforcement
03.31.2026,260301999,2026-03-31 21:01:24,DISTURB NOISE,2068 EVERGREEN ST,Disturbance - Noise,2026-03-31,Disturbance
03.31.2026,260301998,2026-03-31 21:35:20,DISTURB PERSON,2257 SEVENTH ST,Disturbance - Person,2026-03-31,Disturbance
03.31.2026,260301996,2026-03-31 21:49:44,SPEEDING VEH,BONITA AVE & D ST,Speeding Vehicle,2026-03-31,Traffic Enforcement
03.31.2026,260302001,2026-03-31 23:08:34,ASSIST AGENCY,WHEELER AVE & GOLDEN HILLS RD,Assist Other Agency,2026-03-31,Welfare/Assist
04.01.2025,250400002,2025-04-01 01:52:20,TRAFFIC STOP,FIFTH ST & WHITE AVE,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400004,2025-04-01 03:07:49,WELFARE CHECK,1604 FOOTHILL BLVD; VONS GAS,Welfare Check,2025-04-01,Welfare/Assist
04.01.2025,250400009,2025-04-01 06:39:30,WELFARE CHECK,FRUIT ST & IS210,Welfare Check,2025-04-01,Welfare/Assist
04.01.2025,250400010,2025-04-01 07:39:46,TRAFFIC STOP,FOOTHILL BLVD & SAN DIMAS CANYON RD,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400011,2025-04-01 07:57:03,TRAFFIC STOP,BASELINE RD & BUNNELLE AVE,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400012,2025-04-01 08:10:44,TRAFFIC STOP,BASELINE RD & BUNNELLE AVE,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400013,2025-04-01 08:29:33,TRAFFIC STOP,BASELINE RD & BUNNELLE AVE,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400014,2025-04-01 08:39:53,TRAFFIC STOP,WHEELER AVE & FOOTHILL BLVD,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400017,2025-04-01 08:42:11,CODE H SUBJ,4095 FRUIT ST; FOOTHILL TERRACE MOBILE HOMES,5150 Welfare and Institutions Code Subject,2025-04-01,Welfare/Assist
04.01.2025,250400015,2025-04-01 08:53:58,TRAFFIC STOP,ARROW HWY & LA VERNE AVE,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400016,2025-04-01 08:56:07,WELFARE CHECK,DAMIEN AVE & BONITA AVE,Welfare Check,2025-04-01,Welfare/Assist
04.01.2025,250400018,2025-04-01 09:15:50,TRAFFIC STOP,2244 FOOTHILL BLVD; CHUZE FITNESS,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400019,2025-04-01 09:23:51,CITE SIGN OFF,2061 THIRD ST; LVPD,Citation Sign Off,2025-04-01,Other
04.01.2025,250400021,2025-04-01 09:43:39,PUBLIC INTOX,2462 FOOTHILL BLVD; TARGET,Public Intoxication,2025-04-01,Drug/Alcohol
04.01.2025,250400025,2025-04-01 10:04:39,EMBEZZLEMENT,2717 ARROW HWY # 97; LOBBY,EMBEZZLEMENT,2025-04-01,Other
04.01.2025,250400024,2025-04-01 10:25:01,SUSP SUBJ,WHITE AVE & ARROW HWY,Suspicious Subjects,2025-04-01,Suspicious Subjects
04.01.2025,250400027,2025-04-01 11:23:21,CITE SIGN OFF,2061 THIRD ST,Citation Sign Off,2025-04-01,Other
04.01.2025,250400028,2025-04-01 11:56:33,CITE SIGN OFF,2061 THIRD ST; LVPD; LOBBY,Citation Sign Off,2025-04-01,Other
04.01.2025,250400029,2025-04-01 12:13:40,CITIZEN ASST,1600 FOOTHILL BLVD; VONS; LOBBY,Citizen Assist,2025-04-01,Welfare/Assist
04.01.2025,250400030,2025-04-01 12:50:48,SUSP SUBJ,5327 ACORN DR,Suspicious Subjects,2025-04-01,Suspicious Subjects
04.01.2025,250400031,2025-04-01 12:53:12,CITIZEN ASST,4564 WHEELER AVE,Citizen Assist,2025-04-01,Welfare/Assist
04.01.2025,250400033,2025-04-01 13:23:42,TRAFFIC STOP,2139 FOOTHILL BLVD; TUESDAY MORNING,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400034,2025-04-01 13:50:10,KEEP THE PEACE,2708 SHERWIN WAY,Keep the Peace,2025-04-01,Welfare/Assist
04.01.2025,250400042,2025-04-01 13:58:38,THEFT VEHICLE,2617 FIFTH ST,Vehicle Theft,2025-04-01,Vehicle Theft
04.01.2025,250400035,2025-04-01 14:04:58,CODE H SUBJ,1399 FOOTHILL BLVD; BANK OF AMERICA,5150 Welfare and Institutions Code Subject,2025-04-01,Welfare/Assist
04.01.2025,250400036,2025-04-01 14:09:57,SUSP SUBJ,BRADFORD ST & FOOTHILL BLVD,Suspicious Subjects,2025-04-01,Suspicious Subjects
04.01.2025,250400040,2025-04-01 14:23:35,CODE H SUBJ,2334 D ST; A PLACE IN TIME CHILDRENS BOUTIQUE,5150 Welfare and Institutions Code Subject,2025-04-01,Welfare/Assist
04.01.2025,250400037,2025-04-01 14:29:54,WELFARE CHECK,2755 ARROW HWY # 55,Welfare Check,2025-04-01,Welfare/Assist
04.01.2025,250400038,2025-04-01 14:37:31,CODE H SUBJ,3917 WILLIAMS AVE,5150 Welfare and Institutions Code Subject,2025-04-01,Welfare/Assist
04.01.2025,250400041,2025-04-01 15:02:42,SUSP VEHICLE,4310 TOYON CIR,Suspicious Vehicle,2025-04-01,Suspicious Vehicle
04.01.2025,250400044,2025-04-01 16:23:34,TRAFFIC STOP,SIERRA WAY & WHITE AVE,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400045,2025-04-01 16:38:35,TRAFFIC STOP,WHI / NIN,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400047,2025-04-01 16:48:07,TRAFFIC STOP,SIERRA WAY & WHITE AVE,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400048,2025-04-01 17:11:30,SUSP VEHICLE,2676 AMHERST ST,Suspicious Vehicle,2025-04-01,Suspicious Vehicle
04.01.2025,250400052,2025-04-01 18:27:51,DISTURB MUSIC,GOLDEN HILLS RD & BRYDON RD,Disturbance - Music,2025-04-01,Disturbance
04.01.2025,250400049,2025-04-01 18:47:55,SUSP SUBJ,EMERALD AVE & FOOTHILL BLVD,Suspicious Subjects,2025-04-01,Suspicious Subjects
04.01.2025,250400050,2025-04-01 18:50:55,CITIZEN ASST,2085 TENTH ST,Citizen Assist,2025-04-01,Welfare/Assist
04.01.2025,250400051,2025-04-01 19:05:52,LA VERNE MUNI,5005 ESPERANZA DR,La Verne Municipal Code Violation,2025-04-01,Other
04.01.2025,250400053,2025-04-01 19:25:29,TRAFFIC STOP,FOOTHILL BLVD & CHELSEA DR,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400054,2025-04-01 19:48:23,DISTURB PERSON,2229 FOOTHILL BLVD # 100; KOHLS,Disturbance - Person,2025-04-01,Disturbance
04.01.2025,250400056,2025-04-01 20:09:25,PDOBS,D ST & ELEVENTH ST,Police Department Observed Suspicious Circumstances,2025-04-01,Suspicious Circumstances
04.01.2025,250400057,2025-04-01 20:25:12,TRAFFIC STOP,FOOTHILL BLVD & FRUIT ST,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400064,2025-04-01 20:53:09,DISTURB NOISE,4095 FRUIT ST # 604,Disturbance - Noise,2025-04-01,Disturbance
04.01.2025,250400058,2025-04-01 20:54:27,TRAFFIC HAZARD,FIRST ST & WHITE AVE,Traffic Hazard,2025-04-01,Traffic Enforcement
04.01.2025,250400059,2025-04-01 21:14:54,AREA CHECK,1947 D ST; D STREET SHELL GAS,Area Check,2025-04-01,Other
04.01.2025,250400060,2025-04-01 21:21:18,WELFARE CHECK,2090 FOOTHILL BLVD; STATER BROS,Welfare Check,2025-04-01,Welfare/Assist
04.01.2025,250400061,2025-04-01 21:29:41,TRAFFIC STOP,D ST & TENTH ST,Traffic Stop,2025-04-01,Traffic Stop
04.01.2025,250400062,2025-04-01 21:37:18,TC NON INJURY,BONITA AVE & WHITE AVE,Traffic Collision - Non Injury,2025-04-01,Traffic Collision
04.01.2026,260400017,2026-04-01 07:36:03,TC NON INJURY,PALOMARES AVE & CARRION RD,Traffic Collision - Non Injury,2026-04-01,Traffic Collision
04.01.2026,260400019,2026-04-01 08:28:53,TRAFFIC STOP,WHITE AVE & EIGHTH ST,Traffic Stop,2026-04-01,Traffic Stop
04.01.2026,260400020,2026-04-01 08:45:20,KEEP THE PEACE,2552 FOOTHILL BLVD #218,Keep the Peace,2026-04-01,Welfare/Assist
04.01.2026,260400021,2026-04-01 09:02:53,911 INVEST,1187 DANTON ST,911 Investigation,2026-04-01,Other
04.01.2026,260400023,2026-04-01 09:33:01,TRAFFIC STOP,EMERALD AVE & FOOTHILL BLVD,Traffic Stop,2026-04-01,Traffic Stop
04.01.2026,260400033,2026-04-01 10:46:02,594PC VANDALISM,4575 RAMONA AVE #1,Vandalism,2026-04-01,Vandalism
04.01.2026,260400028,2026-04-01 10:53:18,911 INVEST,2597 ARROW HWY,911 Investigation,2026-04-01,Other
04.01.2026,260400029,2026-04-01 11:26:59,PDOBS,CHELSEA DR & FOOTHILL BLVD,Police Department Observed Suspicious Circumstances,2026-04-01,Suspicious Circumstances
04.01.2026,260400030,2026-04-01 11:37:54,TRAFFIC STOP,D ST & TENTH ST,Traffic Stop,2026-04-01,Traffic Stop
04.01.2026,260400031,2026-04-01 11:39:13,CITE SIGN OFF,2061 THIRD ST,Citation Sign Off,2026-04-01,Other
04.01.2026,260400032,2026-04-01 12:17:28,SOLICITOR,2330 FOOTHILL BLVD; TRADER JOES,Solicitor,2026-04-01,Trespass/Solicitor
04.01.2026,260400034,2026-04-01 13:08:55,ASSIST AGENCY,FRUIT ST & BASELINE RD,Assist Other Agency,2026-04-01,Welfare/Assist
04.01.2026,260400035,2026-04-01 13:35:07,911 INVEST,1889 WHEELER AVE,911 Investigation,2026-04-01,Other
04.01.2026,260400037,2026-04-01 14:21:15,TRAFFIC STOP,2462 FOOTHILL BLVD; TARGET,Traffic Stop,2026-04-01,Traffic Stop
04.01.2026,260400038,2026-04-01 14:23:32,SUSP VEHICLE,2550 KENDALL ST,Suspicious Vehicle,2026-04-01,Suspicious Vehicle
04.01.2026,260400041,2026-04-01 14:41:51,TC HR NON INJ,2340 FOOTHILL BLVD; MARSHALLS,Traffic Collision Hit and Run - Non Injuries,2026-04-01,Traffic Collision
04.01.2026,260400039,2026-04-01 14:45:45,TRAFFIC STOP,2320 FOOTHILL BLVD #C; JIMMY JOHNS,Traffic Stop,2026-04-01,Traffic Stop
04.01.2026,260400042,2026-04-01 15:25:17,TRAFFIC STOP,BASELINE RD & EMERALD AVE,Traffic Stop,2026-04-01,Traffic Stop
04.01.2026,260400043,2026-04-01 15:25:37,LA VERNE MUNI,2522 EIGHTH ST,La Verne Municipal Code Violation,2026-04-01,Other
04.01.2026,260400045,2026-04-01 15:36:38,911 INVEST,2061 THIRD ST; LVPD,911 Investigation,2026-04-01,Other
04.01.2026,260400047,2026-04-01 15:44:00,DISTURB PERSON,ARROW HWY & WHEELER AVE,Disturbance - Person,2026-04-01,Disturbance
04.01.2026,260400049,2026-04-01 16:09:24,AREA CHECK,1497 FOOTHILL BLVD; BALDY VIEW ANIMAL HOSPITAL,Area Check,2026-04-01,Other
04.01.2026,260400051,2026-04-01 16:22:00,CITE SIGN OFF,2061 THIRD ST,Citation Sign Off,2026-04-01,Other
04.01.2026,260400050,2026-04-01 16:25:33,911 INVEST,2701 MOUNTAIN VIEW DR; BIRCH COURT AND MAPLE COURT APTS,911 Investigation,2026-04-01,Other
04.01.2026,260400052,2026-04-01 16:32:40,CITIZEN ASST,2701 MOUNTAIN VIEW DR,Citizen Assist,2026-04-01,Welfare/Assist
04.01.2026,260400053,2026-04-01 16:40:00,911 INVEST,1870 PINYON PL,911 Investigation,2026-04-01,Other
04.01.2026,260400054,2026-04-01 16:55:25,DISTURB SUBJS,1951 FOOTHILL BLVD; MICHAELS,Disturbance - Subjects,2026-04-01,Disturbance
04.01.2026,260400059,2026-04-01 17:40:55,ILLEGAL PARKER,SIXTH ST & D ST,Illegal Parking,2026-04-01,Parking
04.01.2026,260400057,2026-04-01 18:07:16,DISTURB SUBJS,2356 BONITA AVE,Disturbance - Subjects,2026-04-01,Disturbance
04.01.2026,260400060,2026-04-01 21:17:18,DISTURB PERSON,2090 FOOTHILL BLVD; STATER BROS,Disturbance - Person,2026-04-01,Disturbance
04.01.2026,260400062,2026-04-01 21:42:38,DISTURB PERSON,2098 FOOTHILL BLVD; IN N OUT,Disturbance - Person,2026-04-01,Disturbance
04.01.2026,260400063,2026-04-01 22:00:30,CODE H SUBJ,3824 TURQUOISE LN,5150 Welfare and Institutions Code Subject,2026-04-01,Welfare/Assist
04.01.2026,260400064,2026-04-01 23:34:29,HUMANE PROBLEM,2579 ROADRUNNER DR,Humane Problem,2026-04-01,Animal
04.01.2026,260400065,2026-04-01 23:41:12,DISTURB SUBJS,2440 PEPPER ST,Disturbance - Subjects,2026-04-01,Disturbance
04.02.2025,250400067,2025-04-02 02:04:46,PDOBS,3720 TOWNE CENTER DR; 711,Police Department Observed Suspicious Circumstances,2025-04-02,Suspicious Circumstances
04.02.2025,250400068,2025-04-02 02:25:31,PDOBS,1840 WRIGHT AVE; VACANT,Police Department Observed Suspicious Circumstances,2025-04-02,Suspicious Circumstances
04.02.2025,250400069,2025-04-02 05:51:16,SUSP VEHICLE,ARROW HWY & WHITE AVE,Suspicious Vehicle,2025-04-02,Suspicious Vehicle
04.02.2025,250400071,2025-04-02 07:38:19,INDECENT EXPOS,THIRD ST & C ST,Indecent Exposure,2025-04-02,Other
04.02.2025,250400072,2025-04-02 07:39:44,CODE H SUBJ,2229 FOOTHILL BLVD; AMAZON FRESH,5150 Welfare and Institutions Code Subject,2025-04-02,Welfare/Assist
04.02.2025,250400075,2025-04-02 09:36:11,WELFARE CHECK,DAMIEN AVE & FOOTHILL BLVD,Welfare Check,2025-04-02,Welfare/Assist
04.02.2025,250400076,2025-04-02 10:13:38,459PC VEH/BURG,1275 FOOTHILL BLVD; LA FITNESS; 10-21,Vehicle Burglary,2025-04-02,Burglary
04.02.2025,250400080,2025-04-02 12:02:39,CODE H SUBJ,2229 FOOTHILL BLVD; AMAZON FRESH,5150 Welfare and Institutions Code Subject,2025-04-02,Welfare/Assist
04.02.2025,250400079,2025-04-02 12:02:45,TRAFFIC STOP,ARROW HWY & LORDSBURG CT,Traffic Stop,2025-04-02,Traffic Stop
04.02.2025,250400081,2025-04-02 12:12:03,TC HR NON INJ,3800 BRADFORD ST # 316,Traffic Collision Hit and Run - Non Injuries,2025-04-02,Traffic Collision
04.02.2025,250400083,2025-04-02 14:19:56,DISTURB ROAD,2717 ARROW HWY # 50,Disturbance - Road,2025-04-02,Disturbance
04.02.2025,250400082,2025-04-02 14:23:39,TRAFFIC STOP,LA VERNE / GAREY,Traffic Stop,2025-04-02,Traffic Stop
04.02.2025,250400085,2025-04-02 15:55:12,TRAFFIC STOP,FOOTHILL BLVD & TOWNE CENTER DR,Traffic Stop,2025-04-02,Traffic Stop
04.02.2025,250400086,2025-04-02 16:06:47,WELFARE CHECK,FOOTHILL BLVD & TOPAZ LN,Welfare Check,2025-04-02,Welfare/Assist
04.02.2025,250400087,2025-04-02 16:10:35,DISTURB SUBJS,1960 SAN DIMAS CANYON RD; EXTRA SPACE STORAGE,Disturbance - Subjects,2025-04-02,Disturbance
04.02.2025,250400088,2025-04-02 16:19:22,BATTERY IP/JO,2216 FOOTHILL BLVD; LA VERNE DENTAL GROUP,Battery In Progress / Just Occurred,2025-04-02,Battery
04.02.2025,250400089,2025-04-02 17:12:15,SUSP SUBJ,2445 FOOTHILL BLVD # A; CAFE X20,Suspicious Subjects,2025-04-02,Suspicious Subjects
04.02.2025,250400092,2025-04-02 17:45:52,CODE H SUBJ,WHEELER AVE & ARROW HWY,5150 Welfare and Institutions Code Subject,2025-04-02,Welfare/Assist
04.02.2025,250400091,2025-04-02 18:08:38,CODE H SUBJ,2200 WHEELER AVE; WHEELER PARK,5150 Welfare and Institutions Code Subject,2025-04-02,Welfare/Assist
04.02.2025,250400093,2025-04-02 18:48:02,CODE H SUBJ,I ST & BONITA AVE,5150 Welfare and Institutions Code Subject,2025-04-02,Welfare/Assist
04.02.2025,250400097,2025-04-02 20:11:28,TRAFFIC STOP,FOOTHILL BLVD & WHITE AVE,Traffic Stop,2025-04-02,Traffic Stop
04.02.2025,250400098,2025-04-02 20:19:18,PDOBS,2229 FOOTHILL BLVD # 100; KOHLS,Police Department Observed Suspicious Circumstances,2025-04-02,Suspicious Circumstances
04.02.2025,250400100,2025-04-02 20:41:29,ASSIST AGENCY,2698 BONITA AVE,Assist Other Agency,2025-04-02,Welfare/Assist
04.02.2025,250400101,2025-04-02 21:01:41,CITE SIGN OFF,2061 THIRD ST; LVPD,Citation Sign Off,2025-04-02,Other
04.02.2025,250400103,2025-04-02 22:02:54,TRAFFIC STOP,FAIRPLEX DR & ARROW HWY,Traffic Stop,2025-04-02,Traffic Stop
04.02.2025,250400104,2025-04-02 22:07:41,TC NON INJURY,BONITA AVE & FULTON RD,Traffic Collision - Non Injury,2025-04-02,Traffic Collision
04.02.2025,250400105,2025-04-02 22:32:18,PDOBS,FRUIT ST & IS210,Police Department Observed Suspicious Circumstances,2025-04-02,Suspicious Circumstances
04.02.2025,250400107,2025-04-02 23:27:12,DISTURB UNK,2413 HUMMINGBIRD WAY,Disturbance - Unknown,2025-04-02,Disturbance
04.02.2025,250400109,2025-04-02 23:48:08,CITIZEN ASST,2108 BLOSSOM LN; VIA 10-21,Citizen Assist,2025-04-02,Welfare/Assist
04.02.2026,260400067,2026-04-02 01:22:26,PDOBS,2462 FOOTHILL BLVD; TARGET,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400068,2026-04-02 01:36:10,PDOBS,1941 FOOTHILL BLVD; PET DEPOT,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400069,2026-04-02 01:37:04,PDOBS,2497 FOOTHILL BLVD #E; GOLD COAST DENTAL,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400070,2026-04-02 01:52:06,PDOBS,1403 FOOTHILL BLVD,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400071,2026-04-02 01:59:14,PDOBS,2268 FOOTHILL BLVD; ALDI,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400072,2026-04-02 02:08:20,SUSP SUBJ,LEMONWOOD ST & VIA RANCHO LA VERNE,Suspicious Subjects,2026-04-02,Suspicious Subjects
04.02.2026,260400073,2026-04-02 02:27:02,PDOBS,FULTON RD & ARROW HWY,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400075,2026-04-02 02:48:39,PDOBS,FOOTHILL BLVD & BRADFORD ST,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400076,2026-04-02 03:02:22,PDOBS,FOOTHILL BLVD & CHELSEA DR,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400079,2026-04-02 03:27:20,TC UNK,FOOTHILL BLVD & BASELINE RD,Traffic Collision - Unknown,2026-04-02,Traffic Collision
04.02.2026,260400080,2026-04-02 03:59:38,DUI,FOOTHILL BLVD & BASELINE RD,Driving Under the Influence,2026-04-02,Drug/Alcohol
04.02.2026,260400081,2026-04-02 07:58:27,911 INVEST,2269 FOOTHILL BLVD; MCDONALDS,911 Investigation,2026-04-02,Other
04.02.2026,260400084,2026-04-02 09:06:04,CITIZEN ASST,2755 ARROW HWY #34; VIA 10-21,Citizen Assist,2026-04-02,Welfare/Assist
04.02.2026,260400085,2026-04-02 09:48:58,TRAFFIC STOP,ARROW HWY & SAN DIMAS CANYON RD,Traffic Stop,2026-04-02,Traffic Stop
04.02.2026,260400087,2026-04-02 10:04:12,911 INVEST,5014 SAINT ANDRES AVE,911 Investigation,2026-04-02,Other
04.02.2026,260400090,2026-04-02 12:00:37,DISTURB PERSON,1400 ARROW HWY; TACONIC,Disturbance - Person,2026-04-02,Disturbance
04.02.2026,260400091,2026-04-02 12:39:17,CITIZEN ASST,1837 WALNUT ST,Citizen Assist,2026-04-02,Welfare/Assist
04.02.2026,260400092,2026-04-02 12:43:24,CITIZEN ASST,D ST & ARROW HWY; LOBBY,Citizen Assist,2026-04-02,Welfare/Assist
04.02.2026,260400093,2026-04-02 13:32:53,ILLEGAL PARKER,VIA DE MANSION & VIA ARROYO,Illegal Parking,2026-04-02,Parking
04.02.2026,260400096,2026-04-02 13:57:32,SUSP VEHICLE,1900 GENESEE DR; EMERALD PARK,Suspicious Vehicle,2026-04-02,Suspicious Vehicle
04.02.2026,260400095,2026-04-02 14:11:16,ILLEGAL PARKER,VIA ENTRADA & BIRDIE DR,Illegal Parking,2026-04-02,Parking
04.02.2026,260400098,2026-04-02 14:25:39,PDOBS,D ST & FOOTHILL BLVD,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400100,2026-04-02 15:36:14,ILLEGAL PARKER,1837 WALNUT ST,Illegal Parking,2026-04-02,Parking
04.02.2026,260400101,2026-04-02 16:02:40,LOST PROPERTY,2537 SEGOVIA; LOBBY,Lost Property,2026-04-02,Property
04.02.2026,260400102,2026-04-02 16:24:36,CITIZEN ASST,3470 DUNE LN; LOBBY,Citizen Assist,2026-04-02,Welfare/Assist
04.02.2026,260400103,2026-04-02 16:56:45,FOUND PROP,2705 MOUNTAIN VIEW DR,Found Property,2026-04-02,Property
04.02.2026,260400104,2026-04-02 17:02:44,CODE H SUBJ,914 FOOTHILL BLVD; LA VERNE CAR WASH,5150 Welfare and Institutions Code Subject,2026-04-02,Welfare/Assist
04.02.2026,260400105,2026-04-02 17:32:00,ASSIST AGENCY,2950 FALCONBERG DR,Assist Other Agency,2026-04-02,Welfare/Assist
04.02.2026,260400107,2026-04-02 18:04:47,CODE H SUBJ,2090 FOOTHILL BLVD; STATER BROS,5150 Welfare and Institutions Code Subject,2026-04-02,Welfare/Assist
04.02.2026,260400109,2026-04-02 19:40:16,DISTURB SUBJS,3504 DUNE LN,Disturbance - Subjects,2026-04-02,Disturbance
04.02.2026,260400108,2026-04-02 19:41:26,BIKE TRAFFIC,WHITE AVE & DURWARD WAY,Bicycle Traffic Stop,2026-04-02,Traffic Enforcement
04.02.2026,260400111,2026-04-02 19:50:50,SOLICITOR,1827 FIFTH ST,Solicitor,2026-04-02,Trespass/Solicitor
04.02.2026,260400110,2026-04-02 20:07:07,KEEP THE PEACE,1910 CITRUSWOOD ST,Keep the Peace,2026-04-02,Welfare/Assist
04.02.2026,260400112,2026-04-02 20:47:06,WELFARE CHECK,1006 MILDRED ST,Welfare Check,2026-04-02,Welfare/Assist
04.02.2026,260400113,2026-04-02 22:09:04,PDOBS,2080 FOOTHILL BLVD,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400114,2026-04-02 22:27:39,PDOBS,1600 FOOTHILL BLVD; VONS,Police Department Observed Suspicious Circumstances,2026-04-02,Suspicious Circumstances
04.02.2026,260400116,2026-04-02 22:34:26,TRAFFIC STOP,BONITA AVE & GLENFIELD AVE,Traffic Stop,2026-04-02,Traffic Stop
04.02.2026,260400117,2026-04-02 22:56:52,TRAFFIC STOP,ARROW HWY & SAN DIMAS CANYON RD,Traffic Stop,2026-04-02,Traffic Stop
04.02.2026,260400118,2026-04-02 23:17:31,TRAFFIC STOP,ARROW HWY & FAIRPLEX DR,Traffic Stop,2026-04-02,Traffic Stop
04.03.2025,250400118,2025-04-03 08:23:33,SUSP CIRCS,805 DUVAL ST,Suspicious Circumstances,2025-04-03,Suspicious Circumstances
04.03.2025,250400119,2025-04-03 09:22:24,CODE H SUBJ,2369 FOOTHILL BLVD # A; LA VERNE MISS DONUT BAGEL,5150 Welfare and Institutions Code Subject,2025-04-03,Welfare/Assist
04.03.2025,250400122,2025-04-03 09:37:35,SUSP VEHICLE,2229 FOOTHILL BLVD # 100; KOHLS,Suspicious Vehicle,2025-04-03,Suspicious Vehicle
04.03.2025,250400124,2025-04-03 09:39:05,537E PC DEFRAUD,2488 FOOTHILL BLVD # D; BROKEN YOLK CAFE,537E PC DEFRAUD,2025-04-03,Fraud
04.03.2025,250400125,2025-04-03 09:39:12,DISTURB PERSON,4095 FRUIT ST # 859,Disturbance - Person,2025-04-03,Disturbance
04.03.2025,250400123,2025-04-03 09:40:47,PDOBS,2269 FOOTHILL BLVD; MCDONALDS,Police Department Observed Suspicious Circumstances,2025-04-03,Suspicious Circumstances
04.03.2025,250400128,2025-04-03 10:13:06,THEFT VEHICLE,1275 FOOTHILL BLVD; LA FITNESS; LOBBY,Vehicle Theft,2025-04-03,Vehicle Theft
04.03.2025,250400130,2025-04-03 10:47:26,PDOBS,2462 FOOTHILL BLVD; TARGET,Police Department Observed Suspicious Circumstances,2025-04-03,Suspicious Circumstances
04.03.2025,250400131,2025-04-03 11:09:15,SUSP SUBJ,SECOND ST & WHITE AVE,Suspicious Subjects,2025-04-03,Suspicious Subjects
04.03.2025,250400133,2025-04-03 11:16:19,PETTY THEFT RPT,2444 FOOTHILL BLVD; FIVE BELOW; 10-21,Petty Theft Report,2025-04-03,Petty Theft
04.03.2025,250400132,2025-04-03 11:18:40,HAIL BY CITIZEN,WHITE AVE & SECOND ST,Hailed by Citizen,2025-04-03,Welfare/Assist
04.03.2025,250400134,2025-04-03 11:23:23,TRAFFIC STOP,ARROW HWY & WHEELER AVE,Traffic Stop,2025-04-03,Traffic Stop
04.03.2025,250400137,2025-04-03 13:31:21,CITIZEN ASST,2061 THIRD ST; LVPD; LOBBY,Citizen Assist,2025-04-03,Welfare/Assist
04.03.2025,250400143,2025-04-03 14:35:07,TC VEH VS PED,WHITE AVE & ARROW HWY,Traffic Collision - Vehicle vs Pedestrian,2025-04-03,Traffic Collision
04.03.2025,250400144,2025-04-03 15:17:10,CITIZEN ASST,2717 ARROW HWY # 152; LOBBY,Citizen Assist,2025-04-03,Welfare/Assist
